494,LUZ MARINA,4257,44.6
495,SERAFINA,4244,66.9
496,MARIA CELIA,4235,54.6
497,MARIA FE,4235,52.1
498,ALMA,4220,9.5
499,LINA,4219,32.7
500,JULIA MARIA,4218,41.1
501,MARIA ALMUDENA,4201,41.2
502,SACRAMENTO,4183,62.6
503,EIDER,4171,16.9
504,CONCEPCIO,4168,67.8
505,GEMA MARIA,4156,31.5
506,BOUCHRA,4148,29.6
507,BASILISA,4137,72.2
508,MAITANE,4134,20.3
509,VICTORIA EUGENIA,4123,38.6
510,MARIA EMILIA,4112,49.9
511,CINTIA,4084,19.6
512,HANANE,4079,28.1
513,NICOLETA,4079,33.3
514,SARA MARIA,4073,28.4
515,IOANA,4065,40.5
516,PASCUALA,4060,68.9
517,LATIFA,4053,36.9
518,ALINA,4052,27.0
519,LORETO,4023,39.5
520,NICOLE,4019,18.1
521,ANA CARMEN,4013,43.9
522,FRANCISCA MARIA,3996,45.5
523,MARIA MARGARITA,3990,52.7
524,PAULA MARIA,3983,24.2
525,PASTORA,3966,57.4
526,ICIAR,3938,31.2
527,ELISA ISABEL,3928,38.7
528,CAMILA,3905,37.3
529,YASMIN,3866,10.0
530,BENEDICTA,3864,69.7
531,JACQUELINE,3863,41.1
532,PAZ,3862,54.8
533,RUT,3861,25.4
534,CLARA ISABEL,3849,40.5
535,MARIA FELISA,3826,56.1
536,UXIA,3812,9.5
537,GRACIELA,3796,38.7
538,CAYETANA,3765,24.7
539,SAMARA,3757,11.9
540,BIBIANA,3754,44.0
541,SIMONA,3753,45.0
542,SAIOA,3752,21.2
543,MARAVILLAS,3750,55.4
544,VEGA,3692,6.7
545,LUZ,3682,53.7
546,JERONIMA,3669,65.9
547,XENIA,3661,15.2
548,CASILDA,3642,62.4
549,CLEMENTINA,3619,68.0
550,ENCARNACIO,3594,67.1
551,SOUAD,3580,32.6
552,SABRINA,3569,23.3
553,MARIA ADELA,3565,51.6
554,MARIA SANDRA,3552,37.4
555,ZOE,3543,7.8
556,CELSA,3536,67.4
557,ZAIDA,3523,21.3
558,SALOME,3520,39.3
559,MARIA EULALIA,3514,51.2
560,ANUNCIACION,3497,70.4
561,SARAH,3480,19.2
562,MARIA SUSANA,3467,44.0
563,ONA,3465,7.7
564,HAFIDA,3459,38.1
565,OFELIA,3450,62.7
566,OIHANE,3431,16.2
567,VICTORIANA,3428,71.4
568,MARIA CECILIA,3425,46.1
569,LUCIANA,3404,53.0
570,DESIRE,3368,18.3
571,NAJAT,3350,34.7
572,BERNARDA,3327,66.3
573,MARIA VANESA,3317,32.7
574,CLARA MARIA,3314,34.5
575,ELOINA,3292,67.2
576,JANIRE,3291,19.9
