623,LEON,2480,49.6
624,ANTOLIN,2467,60.9
625,ARTUR,2462,29.9
626,MHAMED,2460,42.2
627,IBRAHIMA,2459,32.0
628,COSTEL,2453,37.8
629,KILIAN,2453,14.2
630,DAMASO,2452,57.1
631,VENTURA,2452,58.2
632,ANGEL JESUS,2440,36.7
633,ABDELILAH,2438,31.5
634,EUSTAQUIO,2436,63.3
635,BENEDICTO,2426,64.0
636,FRANCISCO DAVID,2411,28.8
637,EDER,2410,14.9
638,SALAH,2401,38.9
639,VICENÇ,2399,48.7
640,VOLODYMYR,2397,40.7
641,ALBINO,2393,62.5
642,ERNEST,2392,37.5
643,LUIS IGNACIO,2392,44.3
644,MARIN,2392,45.3
645,RAFAEL ANTONIO,2387,42.4
646,CARLOS LUIS,2386,43.4
647,VICENTE JAVIER,2385,41.5
648,RENE,2376,38.5
649,JONAS,2367,27.7
650,JOSE MARTIN,2366,47.2
651,CELEDONIO,2364,62.8
652,JULIO JOSE,2347,36.5
653,NELSON,2339,33.6
654,WILLIAM,2339,43.3
655,MOURAD,2321,30.0
656,LAHCEN,2317,38.3
657,KAMAL,2305,28.3
658,ANGEL FRANCISCO,2298,42.8
659,JOSE GREGORIO,2298,42.2
660,ANDRES FELIPE,2294,21.6
661,JOSE ALFREDO,2289,45.2
662,SILVERIO,2278,58.7
663,CHRISTOPHER,2275,29.9
664,WENCESLAO,2266,55.3
665,TARIK,2264,26.2
666,JESUS DAVID,2261,27.8
667,OLEGARIO,2261,62.9
668,JUAN DANIEL,2255,30.1
669,ARCADIO,2251,60.0
670,NICASIO,2251,63.8
671,JORGE ALBERTO,2237,41.2
672,EPIFANIO,2236,64.6
673,JUAN SALVADOR,2235,42.1
674,EKAITZ,2226,14.8
675,RAFAEL ANGEL,2225,41.5
676,SERVANDO,2224,59.1
677,VICENTE MANUEL,2213,45.1
678,ARGIMIRO,2203,65.2
679,FRANCISCO PAULA,2199,44.0
680,MANUEL LUIS,2193,49.4
681,AMADO,2185,60.8
682,IGNACIO JAVIER,2184,41.0
683,NARCIS,2181,47.3
684,OLEKSANDR,2172,36.0
685,IULIAN,2171,34.7
686,MIGUEL JOSE,2169,42.9
687,FERNANDO MANUEL,2159,40.1
688,GILBERTO,2153,51.2
689,RAFAEL JESUS,2153,35.2
690,DIEGO JESUS,2139,31.3
691,ABILIO,2138,63.5
692,JESUS FRANCISCO,2136,44.2
693,FOUAD,2129,30.8
694,CARLOS EDUARDO,2125,33.0
695,YOEL,2124,10.8
696,JUSTINO,2123,64.4
697,ENZO,2118,7.1
698,ADAY,2116,12.2
699,JUAN JAVIER,2113,39.4
700,SEBASTIA,2113,45.2
701,OSCAR LUIS,2109,42.4
702,BALBINO,2108,62.9
703,EL HASSAN,2108,42.8
704,SORIN,2108,36.1
705,FARID,2107,35.7
706,ILIE,2106,41.6
707,ABRAHAN,2104,23.9
708,ABDELKARIM,2090,31.1
709,DONATO,2085,64.0
710,JONAY,2082,22.9
711,AUREL,2081,42.9
712,JOSEP LLUIS,2075,47.2
713,HERNAN,2073,28.6
714,MANUEL RAMON,2066,49.0
715,JOSE SALVADOR,2065,47.8
716,JOSE PASCUAL,2058,47.4
717,ZACARIAS,2058,54.9
718,EMMANUEL,2055,26.8
719,AMANCIO,2047,60.2
720,OSCAR MANUEL,2047,35.2
721,JULIO ANTONIO,2045,48.1
722,MANUEL ENRIQUE,2045,43.6
723,YAHYA,2045,25.7
724,CRESCENCIO,2035,68.0
725,TONI,2030,14.3
726,YERAI,2030,9.0
727,BELTRAN,2027,11.5
728,EMIL,2024,39.7
729,EGOITZ,2010,20.7
730,LUIS JESUS,2010,43.0
731,ACHRAF,2008,12.7
732,ANTONIO CARLOS,2007,41.8
733,DIEGO FERNANDO,2006,30.4
734,FRANCISCO GABRIEL,2006,38.4
735,CARLOS MARIA,2001,46.7
736,MUSTAFA,2001,37.2
737,VICTORIO,1985,63.8
738,REMIGIO,1982,62.3
739,RICARDO JOSE,1977,38.7
740,JOKIN,1973,22.9
741,DYLAN,1968,6.2
